date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:30	211179/211179	---M--	200	added ('OK')	image/png	etag:%22media/methodology/metodologiaHome.98b918ab95.png%22	https://sistemadulino.com.br/media/methodology/metodologiaHome.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/methodology/metodologiaHome.png	(from https://sistemadulino.com.br/)
15:44:30	9580/9580	---M--	200	added ('OK')	image/png	etag:%22media/footer/dulino-completo.c0ece65bb6.png%22	https://sistemadulino.com.br/media/footer/dulino-completo.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/footer/dulino-completo.png	(from https://sistemadulino.com.br/)
15:44:30	168549/168549	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2018:43:36%20GMT	https://sistemadulino.com.br/na-midia	C:/https___sistemadulino.com.br/sistemadulino.com.br/na-midia.html	(from https://sistemadulino.com.br/)
15:44:31	34511/34511	---M--	200	added ('OK')	image/jpeg	etag:%22media/dulinolab/heroLabMobile.29d98aea09.jpg%22	https://sistemadulino.com.br/media/dulinolab/heroLabMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/dulinolab/heroLabMobile.jpg	(from https://sistemadulino.com.br/)
15:44:31	22611/22611	---M--	200	added ('OK')	image/jpeg	etag:%22media/dulinolab/heroLabDesktop.f4f49fb405.jpg%22	https://sistemadulino.com.br/media/dulinolab/heroLabDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/dulinolab/heroLabDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:31	921/921	---M--	200	added ('OK')	image/png	etag:%22media/englishAcademy/balao.ed31e9fa2c.png%22	https://sistemadulino.com.br/media/englishAcademy/balao.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/englishAcademy/balao.png	(from https://sistemadulino.com.br/)
15:44:32	46827/46827	---M--	200	added ('OK')	image/jpeg	etag:%22media/englishAcademy/heroEnglishMobile.2b9a060aa9.jpg%22	https://sistemadulino.com.br/media/englishAcademy/heroEnglishMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/englishAcademy/heroEnglishMobile.jpg	(from https://sistemadulino.com.br/)
15:44:32	37831/37831	---M--	200	added ('OK')	image/jpeg	etag:%22media/englishAcademy/heroEnglishDesktop.0301ff573c.jpg%22	https://sistemadulino.com.br/media/englishAcademy/heroEnglishDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/englishAcademy/heroEnglishDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:32	1058/1058	---M--	200	added ('OK')	image/png	etag:%22media/gameAcademy/video-game.42603c3247.png%22	https://sistemadulino.com.br/media/gameAcademy/video-game.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/gameAcademy/video-game.png	(from https://sistemadulino.com.br/)
15:44:32	36733/36733	---M--	200	added ('OK')	image/jpeg	etag:%22media/gameAcademy/heroGameMobile.aaaa226ebd.jpg%22	https://sistemadulino.com.br/media/gameAcademy/heroGameMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/gameAcademy/heroGameMobile.jpg	(from https://sistemadulino.com.br/)
15:44:33	34394/34394	---M--	200	added ('OK')	image/jpeg	etag:%22media/gameAcademy/heroGameDesktop.379ef5b238.jpg%22	https://sistemadulino.com.br/media/gameAcademy/heroGameDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/gameAcademy/heroGameDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:33	552067/552067	---M--	200	added ('OK')	image/png	etag:%22media/howWorks/background-gradient.382c421462.png%22	https://sistemadulino.com.br/media/howWorks/background-gradient.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/howWorks/background-gradient.png	(from https://sistemadulino.com.br/)
15:44:33	1637/1637	---M--	200	added ('OK')	image/png	etag:%22media/inclusionAcademy/inclusion.c879b0f01c.png%22	https://sistemadulino.com.br/media/inclusionAcademy/inclusion.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/inclusionAcademy/inclusion.png	(from https://sistemadulino.com.br/)
15:44:34	12691/12691	---M--	200	added ('OK')	image/jpeg	etag:%22media/inclusionAcademy/heroInclusionMobile.47b02fb551.jpg%22	https://sistemadulino.com.br/media/inclusionAcademy/heroInclusionMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/inclusionAcademy/heroInclusionMobile.jpg	(from https://sistemadulino.com.br/)
15:44:34	24897/24897	---M--	200	added ('OK')	image/jpeg	etag:%22media/inclusionAcademy/heroInclusionDesktop.8d7cbc45c9.jpg%22	https://sistemadulino.com.br/media/inclusionAcademy/heroInclusionDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/inclusionAcademy/heroInclusionDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:34	1595/1595	---M--	200	added ('OK')	image/png	etag:%22media/makerAcademy/config.e4dd86ccec.png%22	https://sistemadulino.com.br/media/makerAcademy/config.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/makerAcademy/config.png	(from https://sistemadulino.com.br/)
15:44:34	33584/33584	---M--	200	added ('OK')	image/jpeg	etag:%22media/makerAcademy/heroMakerMobile.53f10e43ef.jpg%22	https://sistemadulino.com.br/media/makerAcademy/heroMakerMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/makerAcademy/heroMakerMobile.jpg	(from https://sistemadulino.com.br/)
15:44:35	41817/41817	---M--	200	added ('OK')	image/jpeg	etag:%22media/makerAcademy/heroMakerDesktop.66fa3f7e75.jpg%22	https://sistemadulino.com.br/media/makerAcademy/heroMakerDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/makerAcademy/heroMakerDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:35	1032/1032	---M--	200	added ('OK')	image/png	etag:%22media/roboticsAcademy/robo.d43fc5ff71.png%22	https://sistemadulino.com.br/media/roboticsAcademy/robo.png	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/roboticsAcademy/robo.png	(from https://sistemadulino.com.br/)
15:44:35	46162/46162	---M--	200	added ('OK')	image/jpeg	etag:%22media/roboticsAcademy/heroRoboticsMobile.329cc114e6.jpg%22	https://sistemadulino.com.br/media/roboticsAcademy/heroRoboticsMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/roboticsAcademy/heroRoboticsMobile.jpg	(from https://sistemadulino.com.br/)
15:44:36	40725/40725	---M--	200	added ('OK')	image/jpeg	etag:%22media/roboticsAcademy/heroRoboticsDesktop.b4d2ff038d.jpg%22	https://sistemadulino.com.br/media/roboticsAcademy/heroRoboticsDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/roboticsAcademy/heroRoboticsDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:36	15003/15003	---M--	200	added ('OK')	image/jpeg	etag:%22media/lxp/heroLxpMobile.5fe5390090.jpg%22	https://sistemadulino.com.br/media/lxp/heroLxpMobile.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/lxp/heroLxpMobile.jpg	(from https://sistemadulino.com.br/)
15:44:36	29315/29315	---M--	200	added ('OK')	image/jpeg	etag:%22media/lxp/heroLxpDesktop.f0ce9c7361.jpg%22	https://sistemadulino.com.br/media/lxp/heroLxpDesktop.jpg	C:/https___sistemadulino.com.br/sistemadulino.com.br/media/lxp/heroLxpDesktop.jpg	(from https://sistemadulino.com.br/)
15:44:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202024%2018:43:42%20GMT	http://sistemadulino.com.br/dulino_azul.svg	C:/https___sistemadulino.com.br/sistemadulino.com.br/dulino_azul.svg	(from https://sistemadulino.com.br/)
